x,y
2.792686121522847564e+00,3.035878171946338355e+00
-8.265283948290943483e-01,-2.791186182054732901e-01
5.973626782015413195e-01,-9.596825023567978619e-02
-4.488437688331436970e-01,-2.503642784155434287e-01
-1.545133083332758561e+00,1.877681205391381614e+00
3.825917606645326541e-01,-1.271773998769670566e+00
-1.679412612812587469e+00,1.089659318006452438e+00
-1.602012036870690492e+00,-6.621163299188295159e-01
-3.065162458154201963e-01,1.050419503458081882e+00
1.821800994301670418e+00,2.125884018470791226e+00
-1.657196326135262465e+00,-5.840779031719560699e-01
2.951698905092850489e-02,1.372177341592905053e-01
-1.856026258375363280e+00,-1.107651945989286624e+00
8.566665387206831017e-01,-1.295085407439075187e+00
-2.309628492577777137e-01,-3.768980704493778977e-01
7.430821312501858511e-01,1.363501042436110477e+00
4.257967566243386903e-01,1.498594091985156140e+00
-8.196965484498895949e-01,-1.211864528277082798e+00
-1.411485607586723479e+00,4.056998992618001121e-01
8.404593884911449875e-01,-1.927572127581081762e+00
-1.409425263261785632e+00,1.564735969920530156e-01
-1.099563119653814980e-01,-1.346746473534493838e+00
-5.114762725548716027e-01,3.767710211278271215e-01
-1.514925974534940156e+00,5.667665291465873167e-01
-2.336527070081263258e+00,7.714898258511510010e-01
-2.273270186569941842e+00,-5.241849634394719626e-01
5.419734119820106555e-01,5.441709153032017188e-01
-1.716856095364470425e-01,1.431744690237827244e+00
1.838102911421760632e+00,2.038492025586728928e-01
-2.953817648935391782e-01,6.328051342792860856e-01
5.355506222984530718e-01,-2.183528217530750215e-01
3.428608304389005323e-01,-6.094538606782653467e-01
-1.037600070406360153e+00,1.078521978733923081e+00
-1.419913208662148207e+00,3.584652906268390171e-01
-2.104694431494710027e+00,4.710341166275667790e-01
-4.028249015121852517e-01,4.616982424941797891e-01
-1.513093983895387407e+00,1.981247355886896822e+00
-1.541648703460175573e+00,1.350609505990587045e-01
-1.199984828537720816e+00,-3.441007451828681507e-01
-6.709568501506049110e-01,-1.284578146189002235e+00
8.237350438445086853e-01,-1.554542063710714572e+00
1.228524592594092413e+00,6.079253725977650236e-01
2.741815855585532091e-01,-1.410894208146457052e-01
1.337621914414458990e+00,1.982892905546561613e+00
1.708096863617413641e+00,1.284095633033579320e+00
-9.306132952308353579e-01,1.216370063258983558e+00
-1.535331739374329985e+00,-3.635732969051611030e-01
-2.902036138316154146e-01,1.684582524647812996e-01
7.808024153045129978e-01,5.269581714834292718e-02
1.352047533396631307e+00,-4.735915251699112649e-01
-1.379965429943651456e+00,7.525034400155941050e-01
6.903077894806559645e-01,1.149101356941316210e+00
1.463935002546470632e-01,9.595898626079866212e-01
-1.197132546167649636e+00,2.822899911271353535e+00
7.296115416550180699e-01,2.193436844611447167e+00
8.538536169384585151e-01,1.128137938024490694e+00
7.631728997080639010e-01,1.803086727039225678e+00
-1.130698242220240513e+00,7.992976780432246020e-01
-6.109150206333742172e-01,-9.018975484670538334e-01
-1.022814720762923013e+00,-6.014609843290814606e-01
1.970841206750710839e-01,-1.167923860412042325e+00
5.978229984572736022e-01,3.545776361232436669e-01
-1.616135331305450951e+00,4.840677457466298073e-01
7.887790858779408776e-01,-3.136917395119584451e-01
5.012096679513213804e-01,1.246584995306368793e+00
9.620800003629736974e-01,-1.735716057623401865e+00
-1.053435389978277126e+00,5.850094328135899691e-01
-4.853740398594809657e-01,6.243190947935955970e-01
7.336614849805196403e-01,6.547329216132956597e-01
7.001695710338584622e-01,4.151318405771769471e-01
-2.703623457194893054e-01,-4.868429853128006246e-01
-8.746568747954406309e-01,3.498647037827496420e-01
-1.322524040514942545e+00,1.033869079566800853e+00
7.809870189628108639e-01,3.181650519501862395e-01
-2.451541874496159512e-01,1.499203463323829366e-01
-1.226433351928399862e+00,-4.833772497876634988e-01
-5.041211842550463729e-01,8.442190842647789850e-02
-7.132378334874867054e-01,-6.775883625217445916e-01
9.074588602265440951e-01,-1.201138679923765107e+00
-1.781143023592123509e+00,2.671083878478657248e-01
-1.806164679189806277e+00,-8.592129662799542489e-01
2.651813695954408967e+00,1.815715542743383981e+00
-1.774363905147814391e+00,3.304016654539772002e-01
-5.609326883574412559e-01,-3.439090404703710191e-01
-1.127777742729796806e+00,2.264929574827226233e+00
6.237102897042388072e-01,-9.425248184675900642e-01
2.034019029779847276e+00,2.092589589972263298e+00
7.846221265877998396e-01,9.444821632949553791e-01
-6.417257933348563537e-01,-2.446743757378255779e-02
3.555108777305138745e-01,-2.833981579325701161e-01
4.810950274616722644e-01,1.184859752338767391e+00
-1.412742166635872598e+00,8.441255566758447682e-01
2.054042311299555945e-02,-8.756799464175940573e-01
1.383997620229865388e-02,2.210180375250319074e+00
1.009885095982674397e+00,-5.980558821246349799e-02
-1.233946684732416976e+00,4.286367141309695983e-01
1.579667300595496204e+00,1.113808433900515205e+00
-9.982476258140947634e-01,-1.938496886151800935e-01
3.352683071214954680e-01,8.632689232767181142e-01
-9.296461079571634034e-01,-1.395266309464878951e+00
-5.989636778584317423e-01,1.062231531124301576e+00
-4.292347239531083547e-01,-1.028516815958650188e+00
1.379980202894554919e+00,-1.452133288673079337e+00
-1.486356023107749946e+00,1.334480950898368601e+00
7.353068873596064758e-01,4.286518860929923735e-01
-1.104991076157749941e+00,-9.198184475628512491e-02
4.029781865985857525e-01,-8.516472980414020455e-01
-8.447525124470112168e-01,8.026989805586259852e-02
3.523726173501861014e-01,7.878530769195087879e-01
4.197559203928037386e-01,3.776307415341924045e-01
-6.775773393948289480e-02,-8.317814458788349574e-01
2.666568974266348979e-01,4.151806334892130801e-01
-1.429465938598524888e+00,5.674672527765842883e-02
1.090699019629955746e+00,4.325494454770831831e-01
-8.312531223826546967e-01,-3.264107232814332238e-01
1.913244506985170235e+00,2.059106590315134877e+00
3.859833683921380376e-01,-1.679682485332822051e+00
-7.776011928585735422e-02,-9.539554558557560293e-01
-8.345828862259835335e-01,9.874790577965131266e-01
-1.397826570058017914e+00,3.737712702590292313e-01
-1.590506088931186834e+00,-1.326766905833535459e-01
-1.261065473605047282e+00,7.161652283581865230e-01
4.174449715144101791e-01,-6.100168349566214010e-01
6.852273787969067609e-01,1.506675577126403986e-02
-9.045764659909816263e-01,-9.542460566557455781e-01
4.548118629105452615e-01,1.456951362983986975e-01
-6.902927321936322969e-01,6.196200998156508044e-01
-9.578610812087111626e-01,-5.146260808310219037e-01
-1.665352628775507160e+00,2.354318296139610744e+00
-1.655666510129089941e+00,3.825624077255369571e-01
1.334740620899892205e+00,-3.762833305098907122e-01
-1.727894730141528612e+00,1.877412401999389191e+00
4.133206889306038079e-01,-1.133711896201668790e+00
-7.187623443435131598e-02,1.247114117512176712e+00
-2.065096634224424132e+00,-5.237761047054541041e-01
-2.337603899938947571e-01,4.200151264485674218e-01
-1.193351163648060265e+00,6.173606579136530215e-01
-1.154996782065944139e+00,-1.027360729714533072e+00
-1.433331420979251369e-01,-5.112891672484531913e-01
-1.561136750992333955e+00,-8.715673309697458127e-01
-1.493387041226893475e+00,1.055925100624273583e+00
-2.548220820645386575e-01,-1.803920509363298841e+00
9.965758611575024073e-01,4.338607362908774023e-01
-1.123614130911702036e+00,1.610262778392690386e-01
5.182693497210035805e-01,-9.696944024583113997e-01
-9.970700025724428261e-01,-3.204050140708654126e-01
1.075510774105099099e+00,-5.569901308858282718e-02
-1.520270800592401050e+00,-3.040607057329576257e-01
-1.290382180510561083e+00,1.593903004116867805e-01
-1.811356279776748374e-02,-1.907400916314641925e+00
-2.127421157601886659e+00,9.416725365072287079e-02
-9.281864935390380378e-01,-8.292163623944082129e-02
2.114947963640507744e-01,-8.898347044269183659e-01
1.126129190791786083e+00,7.967647650392755132e-01
1.882613064803353220e+00,-8.413564602953482741e-02
8.669286567302386670e-01,1.118911881861904600e+00
-1.005295657284840938e-02,-5.110617703110682530e-01
-1.251530155783131981e+00,-1.141092632318705391e+00
1.299253925038856838e+00,-1.062985632451652451e+00
4.047161019091585765e-01,-1.375421032472050387e+00
-3.007136318440810641e-01,9.495337871332261148e-01
5.062786442869003922e-01,-1.293660580807010962e+00
-1.900842153881215246e+00,1.189886652527383015e+00
3.109843378726742102e-01,-1.641936386087456401e-01
1.040473532172022209e+00,2.035274643635147207e+00
-7.150370783168580324e-02,-7.431108564010423245e-02
-1.376756156228418293e+00,5.370176869996614588e-01
5.526025737656340420e-01,-3.259044239903399753e-01
7.127112078588179744e-02,-7.772024218379494087e-01
-1.003130957407667445e+00,-1.078631222164697867e+00
8.537755049113165962e-03,-9.358023424013797165e-01
1.991642039278808785e+00,3.298317426108782868e+00
-1.246199615864197030e+00,-9.855510228560215857e-02
